ip_address,date,time,status
test,2025-05-21,00:24:20,Not responding
test,2025-05-21,00:24:50,Not responding
test,2025-05-21,00:25:22,Not responding
192.168.0.12,2025-05-21,00:26:56,Not responding
192.168.0.12,2025-05-21,00:28:00,Connection restored
1039.82.101.34,2025-06-05,20:39:49,Not responding
,2025-06-05,20:49:47,Not responding
,2025-06-05,20:57:49,Not responding
176.59.1.129,2025-06-05,21:02:25,Not responding
176.59.1.129,2025-06-05,21:03:29,Not responding
176.59.1.129,2025-06-05,21:04:34,Not responding
176.59.1.129,2025-06-05,21:05:38,Not responding
176.59.1.129,2025-06-05,21:06:42,Not responding
176.59.1.129,2025-06-05,21:07:46,Not responding
176.59.1.129,2025-06-05,21:08:51,Not responding
176.59.1.129,2025-06-05,21:09:55,Not responding
23232,2025-06-05,21:20:46,Not responding
85.173.126.136,2025-06-05,21:30:50,Not responding
85.173.126.136,2025-06-05,21:31:40,Not responding
https://do.rsue.ru/mod/assign/view.php?id=88343,2025-06-05,21:38:17,Not responding
test,2025-06-06,00:47:36,Not responding
test,2025-06-06,00:47:44,Not responding
test,2025-06-06,00:47:53,Not responding
